Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,02/13/2024,"INTEREST PAYMENT",0.03,MISC_CREDIT,3550.22,,
CREDIT,02/08/2024,"Online Transfer from  CHK ...3197 transaction#: 19519552378",500.00,ACCT_XFER,3550.19,,
CREDIT,01/12/2024,"INTEREST PAYMENT",0.02,MISC_CREDIT,3050.19,,
CREDIT,01/08/2024,"Online Transfer from  CHK ...3197 transaction#: 19230798478",500.00,ACCT_XFER,3050.17,,
CREDIT,12/13/2023,"INTEREST PAYMENT",0.02,MISC_CREDIT,2550.17,,
CREDIT,12/08/2023,"Online Transfer from  CHK ...3197 transaction#: 18949422374",500.00,ACCT_XFER,2550.15,,
CREDIT,11/13/2023,"INTEREST PAYMENT",0.02,MISC_CREDIT,2050.15,,
CREDIT,11/08/2023,"Online Transfer from  CHK ...3197 transaction#: 18646984904",500.00,ACCT_XFER,2050.13,,
DEBIT,10/31/2023,"Online Transfer to CHK ...3197 transaction#: 18870705974 10/31",-500.00,ACCT_XFER,1550.13,,
CREDIT,10/13/2023,"INTEREST PAYMENT",0.01,MISC_CREDIT,2050.13,,
CREDIT,10/06/2023,"Online Transfer from  CHK ...3197 transaction#: 18388131521",500.00,ACCT_XFER,2050.12,,
CREDIT,09/14/2023,"INTEREST PAYMENT",0.01,MISC_CREDIT,1550.12,,
CREDIT,09/08/2023,"Online Transfer from  CHK ...3197 transaction#: 18114845268",500.00,ACCT_XFER,1550.11,,
DSLIP,09/05/2023,"REMOTE ONLINE DEPOSIT #          1",50.11,CHECK_DEPOSIT,1050.11,1,
CREDIT,08/08/2023,"Online Transfer from CHK ...3197 transaction#: 18114845242",500.00,ACCT_XFER,1000.00,,
